State,District,Latitude,Longitude,Crop,Season,Year,Sowing_date,Harvest_date,Area_ha,Production_tonnes,Yield_t_per_ha,Rainfall_mm,Avg_Temperature_C,Humidity_%,Solar_Radiation_MJ_m2_day,Soil_pH,Soil_N_percent,Soil_P_ppm,Soil_K_ppm,Soil_organic_percent,Fertilizer_kg_per_ha,Irrigation_type,Irrigation_mm,NDVI,EVI,Pesticide_used,Previous_crop
Andhra Pradesh,Andhra Pradesh_Dist_19,17.403,82.906,Maize,Rabi,2023,2023-11-04,2024-05-06,40.638,486.957,11.983,232.0,25.66,44.7,16.65,7.39,0.114,12.5,86.11,2.08,152.7,Canal,671.9,0.9318270743667112,0.6842846941605659,1,Fallow
Uttar Pradesh,Uttar Pradesh_Dist_17,32.213,81.745,Rice,Kharif,2021,2021-06-07,2021-10-18,77.044,588.787,7.642,744.0,19.48,34.4,17.72,6.73,0.198,23.08,346.03,1.58,98.0,Canal,260.7,0.95,0.7746301982476989,1,Pulses
Karnataka,Karnataka_Dist_33,31.587,94.705,Pulses,Rabi,2023,2023-10-11,2024-01-19,55.564,36.169,0.651,114.0,23.1,47.8,15.2,5.64,0.159,32.69,369.97,0.68,88.5,Rainfed,0.0,0.4110794495345269,0.3650026118048963,1,Pulses
Uttar Pradesh,Uttar Pradesh_Dist_17,22.367,71.108,Maize,Zaid,2017,2017-03-23,2017-05-26,3.651,42.028,11.511,114.0,22.52,49.0,20.9,6.17,0.195,39.0,234.94,2.58,26.3,Canal,798.0,0.7996778481527882,0.6490797831585368,1,Fallow
Uttar Pradesh,Uttar Pradesh_Dist_35,23.845,89.618,Wheat,Rabi,2019,2019-10-12,2020-02-28,30.157,192.806,6.393,21.0,25.81,48.7,10.89,6.11,0.086,53.98,329.31,3.56,35.1,Canal,831.3,0.6766312940257451,0.5412061576107754,1,Rice
Maharashtra,Maharashtra_Dist_23,15.698,73.028,Cotton,Zaid,2013,2013-03-08,2013-07-05,28.752,41.716,1.451,64.0,22.33,80.9,11.45,5.35,0.346,38.32,179.64,0.96,156.5,Drip,261.1,0.5664778715439087,0.4385685357221861,1,Soybean
Uttar Pradesh,Uttar Pradesh_Dist_12,23.434,76.119,Millet,Kharif,2012,2012-06-06,2012-10-08,114.038,252.632,2.215,507.0,21.68,64.1,17.75,6.36,0.341,52.6,423.17,1.66,45.5,Drip,268.4,0.8620058304815188,0.6958297689399892,1,Soybean
Punjab,Punjab_Dist_25,17.088,71.898,Wheat,Rabi,2013,2013-11-08,2014-03-17,73.874,216.471,2.93,105.0,20.99,64.2,4.3,6.22,0.233,20.87,324.12,1.19,81.6,Rainfed,0.0,0.5060888711744526,0.3565409286409055,1,Cotton
Maharashtra,Maharashtra_Dist_13,12.893,69.928,Millet,Rabi,2014,2014-11-27,2015-06-01,3.774,11.926,3.16,102.0,28.04,76.6,21.86,6.07,0.174,24.19,470.4,4.24,246.0,Sprinkler,782.5,0.95,0.7418804443985254,1,Cotton
Tamil Nadu,Tamil Nadu_Dist_22,30.048,80.735,Wheat,Kharif,2014,2014-06-12,2014-11-04,68.07,276.591,4.063,675.0,26.02,65.1,15.94,6.21,0.099,49.8,359.38,2.85,74.0,Rainfed,0.0,0.9120562351715845,0.7198642821722324,1,Fallow
Andhra Pradesh,Andhra Pradesh_Dist_28,29.439,85.982,Rice,Rabi,2019,2019-10-26,2020-04-09,24.156,65.791,2.724,0.0,23.59,60.3,26.38,6.7,0.165,34.9,460.72,3.31,86.9,Rainfed,0.0,0.2064206877110079,0.19944917146501423,0,Soybean
Tamil Nadu,Tamil Nadu_Dist_13,14.19,88.945,Soybean,Rabi,2011,2011-10-10,2012-04-19,38.621,64.036,1.658,165.0,25.99,53.1,13.75,7.0,0.06,36.34,400.23,4.45,48.6,Groundwater,406.6,0.6797087481924797,0.5304278718066145,1,Cotton
Tamil Nadu,Tamil Nadu_Dist_20,24.509,68.525,Millet,Rabi,2016,2016-11-13,2017-05-17,64.155,165.218,2.575,261.0,29.03,35.5,19.4,5.86,0.323,37.09,248.36,2.58,69.2,Drip,578.9,0.850038431315991,0.6462660736338415,0,Maize
Uttar Pradesh,Uttar Pradesh_Dist_40,34.591,92.328,Sugarcane,Rabi,2018,2018-10-26,2019-03-30,103.335,15500.25,150.0,159.0,27.9,67.2,19.12,6.03,0.223,38.37,258.13,3.81,128.3,Sprinkler,767.2,0.9413586167971895,0.7765190914662452,1,Pulses
West Bengal,West Bengal_Dist_39,27.913,81.114,Soybean,Rabi,2017,2017-10-03,2018-04-05,7.157,8.03,1.122,353.0,27.1,51.2,17.33,7.14,0.051,23.34,247.23,2.92,65.0,Rainfed,0.0,0.5537060214276807,0.4618090175465646,0,Millet
Karnataka,Karnataka_Dist_33,34.916,82.564,Soybean,Kharif,2023,2023-06-05,2023-09-28,13.219,33.975,2.57,331.0,24.4,59.9,11.4,6.98,0.159,36.93,345.55,0.56,90.6,Groundwater,647.7,0.95,0.7268042227377499,0,Pulses
Maharashtra,Maharashtra_Dist_3,18.821,84.23,Cotton,Rabi,2019,2019-11-19,2020-05-17,45.741,98.297,2.149,151.0,24.9,63.0,17.28,6.16,0.061,30.96,317.23,0.8,67.2,Sprinkler,687.8,0.8688091134520144,0.6152667500501303,0,Millet
Bihar,Bihar_Dist_25,14.239,87.485,Pulses,Rabi,2013,2013-11-06,2014-03-14,8.935,5.816,0.651,173.0,23.98,57.8,20.64,7.0,0.173,6.4,145.58,3.72,20.4,Rainfed,0.0,0.3318389412203165,0.26637066201206794,0,Wheat
Tamil Nadu,Tamil Nadu_Dist_30,32.201,68.377,Wheat,Zaid,2013,2013-03-15,2013-07-04,1.495,6.652,4.449,84.0,24.48,67.5,12.73,6.29,0.123,44.72,439.39,4.24,86.2,Groundwater,447.9,0.5695868336200051,0.474147535104332,0,Millet
Tamil Nadu,Tamil Nadu_Dist_36,15.951,95.505,Soybean,Rabi,2019,2019-10-28,2020-05-10,4.969,13.92,2.801,176.0,20.0,73.9,17.08,6.19,0.128,25.88,327.92,1.71,162.9,Sprinkler,612.1,0.95,0.6949036693887742,1,Millet
Rajasthan,Rajasthan_Dist_29,32.686,71.415,Sugarcane,Kharif,2023,2023-07-03,2023-11-26,72.613,10203.541,140.519,646.0,24.88,55.0,24.73,7.79,0.127,12.66,430.67,4.93,140.3,Drip,410.3,0.95,0.7366508582379306,1,Maize
Karnataka,Karnataka_Dist_16,12.49,89.403,Sugarcane,Rabi,2015,2015-10-13,2016-02-19,43.462,6519.3,150.0,183.0,18.19,75.4,20.36,6.65,0.23,41.58,153.66,4.61,159.0,Sprinkler,509.4,0.8780206976908386,0.6313249158681374,0,Rice
Uttar Pradesh,Uttar Pradesh_Dist_14,8.842,75.606,Rice,Rabi,2016,2016-10-27,2017-03-02,4.821,13.616,2.824,35.0,27.32,37.1,14.01,7.3,0.139,36.15,279.94,3.49,47.0,Rainfed,0.0,0.256766040347386,0.21078393617437774,1,Soybean
Madhya Pradesh,Madhya Pradesh_Dist_25,26.757,75.892,Wheat,Zaid,2016,2016-04-27,2016-08-19,45.703,285.9,6.256,80.0,22.36,34.7,22.94,6.29,0.073,45.05,288.11,3.6,114.6,Canal,547.9,0.7580275967727738,0.5895480741413911,1,Pulses
Madhya Pradesh,Madhya Pradesh_Dist_35,21.214,74.415,Cotton,Rabi,2013,2013-11-22,2014-04-14,45.108,41.593,0.922,92.0,24.01,58.9,21.1,6.61,0.312,45.27,418.76,3.46,19.9,Rainfed,0.0,0.3043461077274452,0.2572522885588093,1,Fallow
Madhya Pradesh,Madhya Pradesh_Dist_11,8.999,85.292,Pulses,Kharif,2019,2019-06-05,2019-10-27,220.278,651.02,2.955,564.0,25.83,64.1,11.62,5.85,0.327,58.41,476.59,2.63,163.2,Canal,889.6,0.95,0.7865955223770716,1,Fallow
Rajasthan,Rajasthan_Dist_12,31.493,68.617,Wheat,Rabi,2016,2016-11-13,2017-05-29,13.569,27.069,1.995,67.0,30.11,56.1,18.67,6.75,0.287,22.53,342.87,4.49,0.0,Rainfed,0.0,0.14282682142872383,0.13182656096873643,1,Cotton
Karnataka,Karnataka_Dist_27,14.447,71.204,Sugarcane,Kharif,2017,2017-06-25,2017-10-01,104.353,11281.667,108.111,607.0,25.19,78.3,14.58,6.19,0.238,53.05,493.32,3.96,0.0,Rainfed,0.0,0.6122089837433385,0.43700921699484646,0,Cotton
Maharashtra,Maharashtra_Dist_2,34.762,74.718,Cotton,Kharif,2023,2023-06-22,2023-11-19,22.396,31.34,1.399,349.0,20.8,31.0,11.96,5.86,0.335,48.25,117.55,2.38,141.0,Rainfed,0.0,0.7910861377703093,0.6129520028098475,0,Maize
Punjab,Punjab_Dist_37,26.793,72.463,Cotton,Rabi,2021,2021-10-27,2022-05-14,143.5,149.875,1.044,243.0,31.48,36.5,18.37,6.19,0.106,47.88,227.05,0.76,64.1,Rainfed,0.0,0.44618003658117156,0.3217369230545735,1,Rice
Uttar Pradesh,Uttar Pradesh_Dist_20,22.873,70.523,Rice,Zaid,2010,2010-03-19,2010-05-22,85.096,1021.152,12.0,52.0,22.19,95.4,22.69,6.0,0.313,19.61,134.4,4.5,109.9,Groundwater,866.7,0.8959632695362452,0.7268043193286069,1,Soybean
Bihar,Bihar_Dist_7,15.21,93.48,Sugarcane,Zaid,2019,2019-04-12,2019-07-23,26.751,4012.65,150.0,25.0,22.08,59.5,26.97,6.19,0.305,32.23,281.85,3.17,113.4,Sprinkler,712.3,0.8361737401893605,0.6349845078875076,0,Cotton
Punjab,Punjab_Dist_33,12.341,91.721,Soybean,Kharif,2023,2023-07-21,2023-12-04,80.333,173.547,2.16,640.0,26.69,66.1,21.58,6.8,0.254,39.02,396.14,1.21,151.4,Rainfed,0.0,0.9345838315701352,0.7226602956377303,1,Wheat
Rajasthan,Rajasthan_Dist_10,17.231,86.346,Millet,Kharif,2021,2021-07-27,2021-12-19,89.73,195.951,2.184,466.0,25.01,72.3,10.55,6.51,0.128,39.87,306.79,4.01,105.4,Canal,285.6,0.9113291841855378,0.7763869457413345,1,Millet
West Bengal,West Bengal_Dist_18,8.597,77.385,Soybean,Kharif,2023,2023-06-19,2023-11-15,134.933,392.257,2.907,433.0,25.78,76.1,12.87,6.58,0.154,39.15,99.21,4.42,58.0,Groundwater,880.1,0.95,0.7442258383806113,1,Millet
West Bengal,West Bengal_Dist_25,12.079,80.538,Soybean,Kharif,2017,2017-06-26,2017-11-08,34.034,130.621,3.838,610.0,29.32,34.5,15.97,5.76,0.288,43.15,172.72,0.87,89.3,Sprinkler,640.2,0.95,0.7861737198484043,0,Millet
Karnataka,Karnataka_Dist_22,34.141,73.38,Sugarcane,Zaid,2021,2021-03-24,2021-06-07,144.278,21641.7,150.0,154.0,20.72,37.1,14.54,6.47,0.318,17.65,169.5,0.64,114.6,Sprinkler,625.8,0.8835051377641312,0.6965148353622261,0,Maize
Madhya Pradesh,Madhya Pradesh_Dist_32,21.273,69.862,Cotton,Zaid,2017,2017-03-10,2017-05-14,101.984,135.897,1.333,108.0,27.89,66.9,21.04,5.93,0.06,55.65,338.99,4.08,119.4,Drip,392.6,0.6280403848970365,0.5564605209049538,1,Millet
Bihar,Bihar_Dist_26,14.535,96.613,Cotton,Rabi,2020,2020-11-18,2021-06-01,44.11,105.231,2.386,217.0,22.39,53.3,8.55,6.23,0.23,21.04,371.89,4.37,0.0,Canal,823.9,0.8384311511450935,0.6536147793268876,1,Cotton
Andhra Pradesh,Andhra Pradesh_Dist_23,29.616,73.804,Pulses,Rabi,2014,2014-11-24,2015-03-19,8.186,8.192,1.001,342.0,24.91,67.9,26.91,5.97,0.155,6.83,113.0,2.29,102.3,Rainfed,0.0,0.6210205142498316,0.46493742807738225,0,Maize
Tamil Nadu,Tamil Nadu_Dist_12,25.377,83.266,Cotton,Kharif,2021,2021-06-08,2021-10-13,9.665,31.674,3.277,541.0,21.81,87.2,19.79,6.74,0.291,23.67,422.23,0.86,140.9,Canal,915.9,0.95,0.765927988140772,1,Wheat
Andhra Pradesh,Andhra Pradesh_Dist_12,9.949,68.889,Sugarcane,Kharif,2021,2021-06-10,2021-11-17,66.262,9939.3,150.0,402.0,23.06,55.2,20.12,6.81,0.248,32.4,313.25,3.74,65.6,Canal,382.8,0.7834886389749348,0.6437192328207499,1,Fallow
Uttar Pradesh,Uttar Pradesh_Dist_32,21.14,93.329,Rice,Kharif,2019,2019-07-02,2019-10-23,15.399,83.816,5.443,664.0,24.56,74.0,22.37,5.38,0.161,59.32,96.85,4.4,45.9,Rainfed,0.0,0.7383596569302264,0.6507398386200852,1,Millet
Karnataka,Karnataka_Dist_31,12.886,92.777,Rice,Kharif,2016,2016-06-03,2016-10-09,115.981,1391.772,12.0,255.0,22.71,72.0,18.9,6.82,0.239,45.32,135.26,3.72,24.8,Canal,927.2,0.9455047423077289,0.7362550928080416,0,Rice
Bihar,Bihar_Dist_8,34.185,81.16,Millet,Zaid,2019,2019-04-15,2019-08-11,34.391,56.049,1.63,102.0,23.52,71.6,3.76,7.19,0.099,26.51,487.15,1.66,0.0,Sprinkler,628.4,0.6742260225140849,0.5181384520254437,0,Soybean
Karnataka,Karnataka_Dist_38,29.753,84.975,Millet,Rabi,2019,2019-10-22,2020-03-03,13.963,26.083,1.868,0.0,26.02,56.1,24.17,6.89,0.262,14.19,150.4,0.67,16.5,Drip,494.6,0.45542824743913085,0.4266450374581299,0,Maize
Punjab,Punjab_Dist_11,12.005,96.612,Cotton,Kharif,2018,2018-07-10,2018-12-07,101.851,100.186,0.984,461.0,24.21,58.9,17.81,6.94,0.062,11.72,269.92,4.7,103.1,Rainfed,0.0,0.7234817595158044,0.5188393870766803,0,Soybean
Maharashtra,Maharashtra_Dist_15,31.44,73.137,Sugarcane,Zaid,2014,2014-03-09,2014-07-06,168.29,17282.493,102.695,117.0,26.39,75.0,3.52,7.75,0.092,6.65,209.33,3.67,91.6,Drip,280.7,0.5749484576297463,0.4404373599834444,1,Wheat
West Bengal,West Bengal_Dist_13,10.878,87.078,Millet,Kharif,2018,2018-06-02,2018-09-09,59.484,93.187,1.567,495.0,33.01,74.4,19.54,6.23,0.329,42.92,364.14,1.47,104.0,Rainfed,0.0,0.6970203450852674,0.6065500516366701,0,Pulses
Uttar Pradesh,Uttar Pradesh_Dist_20,11.246,83.79,Sugarcane,Rabi,2011,2011-11-18,2012-04-30,372.586,55887.9,150.0,230.0,23.99,65.1,25.18,6.84,0.171,22.99,360.39,4.14,121.3,Canal,809.8,0.95,0.8012712043993486,1,Soybean
Rajasthan,Rajasthan_Dist_29,18.254,93.037,Rice,Zaid,2010,2010-03-08,2010-05-12,0.789,5.509,6.983,36.0,19.24,83.9,13.77,5.91,0.121,25.53,175.45,0.83,0.0,Sprinkler,601.7,0.5979032432508231,0.5243419382261455,1,Pulses
West Bengal,West Bengal_Dist_38,9.627,95.099,Wheat,Zaid,2023,2023-04-21,2023-07-23,37.103,98.071,2.643,62.0,24.92,42.6,10.34,7.37,0.21,38.43,401.25,4.16,0.0,Rainfed,0.0,0.1931657155999518,0.16629510837098752,0,Rice
Rajasthan,Rajasthan_Dist_18,26.39,73.262,Maize,Zaid,2016,2016-04-14,2016-07-05,22.164,122.839,5.542,79.0,21.2,46.9,13.08,7.08,0.212,22.12,336.34,3.72,63.0,Drip,309.0,0.45187563032308453,0.3547615097585569,1,Wheat
Andhra Pradesh,Andhra Pradesh_Dist_21,31.874,74.614,Rice,Kharif,2015,2015-07-02,2015-12-09,37.739,250.119,6.628,410.0,26.28,36.1,20.2,6.49,0.292,35.26,98.23,3.35,133.1,Rainfed,0.0,0.7247648751516143,0.5961108409923831,1,Pulses
Rajasthan,Rajasthan_Dist_6,12.536,89.369,Soybean,Rabi,2015,2015-11-02,2016-04-02,12.416,16.263,1.31,38.0,32.0,41.3,14.54,6.07,0.297,28.31,360.37,0.93,153.7,Rainfed,0.0,0.3729826473370121,0.3627405917028113,1,Fallow
Bihar,Bihar_Dist_34,19.561,88.81,Soybean,Zaid,2022,2022-03-18,2022-06-03,99.815,334.054,3.347,73.0,24.48,60.7,17.26,7.08,0.12,26.5,329.68,2.74,232.6,Canal,990.2,0.95,0.7368308792402057,1,Fallow
Uttar Pradesh,Uttar Pradesh_Dist_19,31.762,86.875,Pulses,Zaid,2017,2017-04-01,2017-07-05,59.454,40.152,0.675,92.0,22.86,35.7,20.82,5.84,0.156,8.82,298.01,0.8,57.3,Rainfed,0.0,0.2876590849746804,0.25116845992492104,0,Rice
Tamil Nadu,Tamil Nadu_Dist_27,20.16,89.929,Rice,Kharif,2023,2023-06-23,2023-11-23,38.567,311.288,8.071,324.0,20.07,70.4,27.73,6.34,0.068,35.93,482.2,1.29,203.6,Groundwater,667.5,0.95,0.7175885650928506,1,Wheat
Karnataka,Karnataka_Dist_33,8.976,76.791,Sugarcane,Rabi,2023,2023-11-05,2024-04-23,21.853,3198.614,146.37,237.0,27.44,43.6,16.42,7.23,0.206,39.3,117.43,3.9,108.5,Canal,302.2,0.7325568023106211,0.6035173206480188,1,Maize
Madhya Pradesh,Madhya Pradesh_Dist_13,31.705,93.174,Maize,Kharif,2014,2014-07-10,2014-10-08,15.766,151.538,9.612,394.0,24.04,61.3,21.54,5.99,0.184,38.03,296.59,4.64,3.9,Sprinkler,548.5,0.8436414679273782,0.6719464847461682,1,Cotton
Karnataka,Karnataka_Dist_38,12.721,82.574,Pulses,Kharif,2017,2017-07-11,2017-12-06,82.476,136.624,1.657,400.0,28.97,57.4,14.22,6.82,0.154,58.66,349.21,4.2,46.1,Canal,306.0,0.8859938817928842,0.6997908969025326,1,Cotton
Bihar,Bihar_Dist_16,9.656,90.642,Millet,Kharif,2023,2023-07-13,2023-11-28,25.93,49.258,1.9,444.0,21.03,67.6,18.27,5.42,0.202,29.17,124.38,3.38,61.2,Sprinkler,408.0,0.95,0.7965628555509195,0,Cotton
Uttar Pradesh,Uttar Pradesh_Dist_32,11.529,93.712,Wheat,Kharif,2018,2018-07-17,2018-10-27,31.291,202.533,6.473,522.0,23.65,50.8,16.49,6.27,0.203,59.82,421.87,3.27,110.2,Groundwater,379.7,0.95,0.8286604620639302,1,Wheat
Rajasthan,Rajasthan_Dist_1,13.81,68.352,Maize,Rabi,2023,2023-11-09,2024-05-27,30.372,190.221,6.263,109.0,20.32,78.1,16.42,7.03,0.053,27.89,282.16,0.59,145.7,Drip,303.9,0.6216777775873759,0.5090963422319771,0,Wheat
Andhra Pradesh,Andhra Pradesh_Dist_40,20.405,90.765,Millet,Zaid,2011,2011-04-18,2011-08-11,14.301,25.13,1.757,79.0,27.32,61.8,13.13,7.22,0.079,31.85,143.02,1.96,90.5,Sprinkler,668.7,0.6429351505227642,0.5009997476144712,1,Cotton
Maharashtra,Maharashtra_Dist_40,27.911,82.854,Rice,Kharif,2020,2020-06-04,2020-10-27,111.82,957.239,8.561,671.0,20.52,36.0,15.97,6.45,0.241,41.26,455.95,3.37,155.3,Drip,445.6,0.95,0.7373974638896145,1,Maize
Punjab,Punjab_Dist_29,10.219,96.068,Maize,Zaid,2014,2014-03-12,2014-05-29,57.507,461.177,8.019,65.0,25.74,39.8,13.14,7.22,0.248,15.19,153.13,0.94,60.6,Groundwater,645.2,0.6474343739694016,0.5443352768151123,0,Cotton
